barid,region,dsid,nproj,cost,prepass_co,prepass_ch,prepass_st,prepass_ct,prepass_cu,prepass_fish,prepass_agrinf,postpass,s_co,s_ch,s_st,s_ct,s_cu,s_agri_current,s_roadrail_current,s_inundhab_current,s_building_current,s_publicuse_current,s_agri_future,s_roadrail_future,s_inundhab_future,s_building_future,s_publicuse_future,coho_salmon,chinook_salmon,steelhead,cutthroat_trout,chum,agri_current,roadrail_current,inundhab_current,building_current,publicuse_current,agri_future,roadrail_future,inundhab_future,building_future,publicuse_future,barriertype,name,primarytg,dominanttg,exclude_reason,lon,lat
10ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00260035702623626,0.0156050442931969,0.00310072647478461,0.0108108108108108,0,0.00254383506450803,0.0115237261982909,0.00316778827821494,0.00819672131147541,0,,,,0,,4.58780241012573,0.0403466783463954,5.5705451965332,2,,4.8503770828247,0.0432937927544117,5.97715902328491,2,,Tide gate,,1,0,,-124.15580654,43.32542639
10ts5,Umpqua,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Butler Cr Farms,0,0,Non-primary tide gate,-124.0669,43.70293333
110ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,,-124.12462524,43.37875099
111ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00632109536610844,0,0.00636877828159986,0,0,0.00626716087050076,0,0.00631649958860385,0,0,,,,0,,11.1522903442382,,11.4416952133178,,,11.9497108459472,,11.9183225631713,,,Tide gate,,1,0,,-124.1554234,43.36564049
112ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0152061934265828,0,0.014933375675045,0.0054054054054054,0,0.015038898333254,0.0450246298759996,0.0148203759128236,0.0040983606557377,0,,,,0,,26.8282432556152,,26.8282432556152,1,,28.6749439239501,0.169154226779937,27.9639091491699,1,,Tide gate,,1,0,,-124.1742446,43.35290119
113ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0157167059649811,0,0.0154347289926606,0.0162162162162162,0,0.0145443949335066,0,0.0146975027319123,0.0122950819672131,0,,,,0,,27.7289390563964,,27.7289390563964,3,,27.7320652008056,,27.7320652008056,3,,Tide gate,,1,0,,-124.17215617,43.35323585
114ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0152077134268983,0.0229508811702411,0.0150622632186794,0,0,0.0148158156195868,0.0816954031085263,0.0149454274990795,0,0,,,,0,,26.8309249877929,0.0593392625451087,27.05979347229,,,28.2495880126953,0.306923627853393,28.1998634338378,,,Tide gate,,1,0,,-124.15757864,43.33629193
115ts2,Coos,NA,1,150000,0,0,0,0,0,0,0,1,0,0,0.0683890182176671,0.0403637078491647,0,0.0386958739779543,0,0.0398546032911499,0,0,0.0364117756158402,0,0.0388670940079979,0,0,,,0.7939628360587,0.928837220948203,,68.2710189819336,,71.5999526977539,,,69.427001953125,,73.3365936279296,,,Tide gate,,1,0,,-124.15980109,43.32803009
116ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0134325725178961,0.08450966629655,0.0135466521288813,0.0162162162162162,0,0.012688929828461,0.0714406652953998,0.0131956160772112,0.0163934426229508,0,,,,0,,23.6990489959716,0.218498855829238,24.3369541168212,3,,24.1942157745361,0.268397331237792,24.8982219696044,4,,Tide gate,,1,0,,-124.15650421,43.31882739
117ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00298490710605639,0.017717035270232,0.00366600758512202,0,0,0.0028746893893643,0.0317533494118301,0.00365959411603881,0,0,,,,0,,5.26626300811767,0.0458072088658809,6.5860891342163,,,5.48122310638427,0.119295001029968,6.90512561798095,,,Tide gate,,1,0,,-124.15294422,43.31221381
118ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000984253379974755,0.0145652266152198,0.00101202995811999,0,0,0.00110915287460266,0.0168173621174979,0.00114002661277446,0,0,,,,0,,1.73651540279388,0.0376582406461238,1.81814122200012,,,2.11484217643737,0.0631815940141677,2.15106558799743,,,Tide gate,,1,0,,-124.15039568,43.31240472
119ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.0229606062614502,0,0.00391776892130987,0.0242486821914016,0.00518996033696297,0.0162162162162162,0.181818181818181,0.0121339394418776,0.164045169178328,0.009501006243336,0.0286885245901639,0.103448275862068,,,,0.528362403941358,,6.91210842132568,0.06269471347332,9.32391452789306,3,2,23.1360054016113,0.616305649280548,17.9270267486572,7,3,Tide gate,,1,0,,-124.19297582,43.33322268
11Ats1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,,-124.27709809,43.19199485
11Bts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,,-124.27708143,43.19195628
11ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00112120766515878,0.00566720280422606,0.00145177062069898,0.0108108108108108,0,0.00103804719150958,0.00493901644987095,0.00144596898595314,0.00819672131147541,0,,,,0,,1.97814345359802,0.0146524934098124,2.60814809799194,2,,1.97926366329193,0.0185555219650268,2.72833466529846,2,,Tide gate,,1,0,,-124.15519991,43.3235537
11ts5,Umpqua,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Butler Cr Farms,0,0,Non-primary tide gate,-124.06805,43.7028
120ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.0123339969092771,0,0.00638937105595593,0,0.00666603001641076,0.0216216216216216,0,0.006355311498289,0,0.00677425078463835,0.0204918032786885,0,,,,0.283826140433076,,11.2727489471435,,11.9757165908813,4,,12.1177892684936,,12.7820329666137,5,,Tide gate,,1,0,,-124.20086618,43.32945936
121ts2,Coos,NA,1,85000,0.400000005960464,0.400000005960464,0.400000005960464,0.400000005960464,0,0,0,1,0,0,0,0.0107919153824875,0,0.0196237835327204,0.0745441753473174,0.0197145059211807,0.0756756756756756,0,0.019143087488685,0.0818292107752835,0.0202830846539921,0.0737704918032786,0,,,,0.248340234996159,,34.6221847534179,0.19273318350315,35.417682647705,14,,36.5004768371582,0.307426333427429,38.2712516784668,18,,Tide gate,,1,1,,-124.22033928,43.34752754
12241fs2,Coos,15621fs2,0,0,0.400000005960464,0.400000005960464,0.400000005960464,0.400000005960464,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,,0,0,Stream barrier other than culvert,-124.22848983,43.26957516
122ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01399420074258,0.0167781502433207,0.0137997356284491,0.0324324324324324,0,0.0132522239588671,0.0133134681938192,0.0132455799013283,0.0286885245901639,0,,,,0,,24.6899280548095,0.0433797314763069,24.7916259765625,6,,25.2682590484619,0.0500177219510078,24.9924964904785,7,,Tide gate,Noble Creek,1,0,,-124.22544681,43.34434475
123ts2,Coos,NA,1,300000,0,0,0,0,0,0,0,1,0,0,0,0.000370475716342515,0,0.0676858259412741,0.0916022789422932,0.0717680037719218,0.0216216216216216,0,0.0640675779779264,0.100537066278487,0.0712813369320198,0.0163934426229508,0,,,,0.00852527315087821,,119.417907714843,0.236836731433868,128.933303833007,4,,122.158828735351,0.377710372209548,134.497589111328,4,,Tide gate,Willanch Slough,1,0,,-124.2003543,43.46675695
124ts2,Coos,52ts2,1,85000,0,0,0,0,0,0,0,1,0,0,0.0705537014106859,0.0358995502998791,0,0.0367048465376546,0,0.0394311479533491,0,0,0.0340089176346718,0,0.0381557430714296,0,0,,,0.819093742334144,0.826109401505838,,64.7582550048828,,70.8392028808593,,,64.8454284667968,,71.9943771362304,,,Tide gate,Kentuck Slough,1,0,,-124.1837666,43.46674904
125ts2,Coos,52ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Larson Slough,0,0,Non-primary,-124.18746214,43.46591716
126ts2,Coos,48ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Palouse Slough,0,0,Non-primary,-124.19215368,43.46097607
127ts2,Coos,48ts2,1,60000,0,0,0,0,0,0,0,1,0,0,0,0.0202510110740742,0,0.010866039012194,0,0.0113297086629993,0,0,0.0104310707595732,0,0.0111192187325828,0,0,,,,0.466010033511419,,19.1709213256835,,20.3541507720947,,,19.8891143798828,,20.9803600311279,,,Tide gate,,1,0,,-124.18553636,43.45884284
128ts2,Coos,52ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.18508347,43.46850913
129ts2,Coos,45ts2,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00824619738731881,0.0371105602753291,0.00809824890454453,0,0,0.0078022326073249,0.0301407580025044,0.00783937727633755,0,0,,,,0,,14.5487422943115,0.0959489643573761,14.5487394332885,,,14.8766603469848,0.113236613571643,14.7917728424072,,,Tide gate,,1,0,,-124.1804086,43.40119479
12Ats1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.25959186,43.19541777
12Bts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.25958111,43.19535752
12Dts1,Coquille,NA,0,815000,0,0,0,0,0,0,0,1,1,0,0.282809434450596,0.426216729451483,0,1,0.737541022593468,1,0.0054054054054054,0,1,0.557278438999823,1,0.0040983606557377,0.0689655172413793,14.9761662226987,,3.28327831708142,9.80796818728187,,1764.29711914062,1.90690457820892,1796.52905273437,1,,1906.71838378906,2.0936541557312,1886.85559082031,1,2,Tide gate,Winter Lake,1,0,Replaced and restored. Winter Lake,-124.26004247,43.19569185
12ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.0126005404204707,0,0.00406693138470359,0.0329284982731527,0.00444937347100318,0.0108108108108108,0,0.00439072233516265,0.0283014598521154,0.00485377722507315,0.00819672131147541,0,,,,0.289959757669728,,7.17527532577514,0.0851362869143486,7.9934287071228,2,,8.37187099456787,0.106326505541801,9.15837669372558,2,,Tide gate,,1,0,,-124.15371161,43.32116867
12ts5,Umpqua,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary tide gate,-124.10878333,43.70525
130ts2,Coos,45ts2,1,150000,0,0,0,0,0,0,0,1,0,0,0,0.0680146574032467,0,0.0201372668825462,0.0142892845767589,0.0208020454651391,0,0,0.0291682501232247,0.0586019751496602,0.0268123143695388,0.0122950819672131,0.0344827586206896,,,,1.56513236103712,,35.5281219482421,0.0369447953999042,37.3714790344238,,,55.6156387329101,0.220163315534591,50.590965270996,3,1,Tide gate,,1,0,,-124.18018599,43.40123539
132ts2,Coos,99ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.21254051,43.49034909
133ts2,Coos,99ts2,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.027566080492968,0,0.0119949992465295,0.0258135265907185,0.0135585207097616,0,0,0.0113385256116949,0.0195821824668231,0.0135990607904926,0,0,,,,0.634342159377529,,21.162742614746,0.0667406022548675,24.3582763671875,,,21.6193752288818,0.0735688209533691,25.6594638824462,,,Tide gate,,1,0,,-124.21221968,43.49007527
134ts2,Coos,99ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.20799677,43.49244674
135ts2,Coos,22ts2,1,150000,0,0,0,0,0,0,0,1,0,0,0,0.0436890919866599,0,0.0414853102326265,0.106325492799047,0.0417379057557684,0.027027027027027,0,0.0397708615653287,0.110777271506512,0.0413569496544667,0.0204918032786885,0,,,,1.0053599371565,,73.1924133300781,0.274903446435928,74.9833602905273,5,,75.8318328857421,0.416182070970535,78.0345916748046,5,,Tide gate,,1,0,,-124.21523276,43.25452401
