BUDGET ($ million)	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
Barrier Count	0	2	3	5	7	8	10	12	15	17	20
Tide gate Count	0	2	3	5	7	8	10	12	15	17	20
Upstream Count	0	0	0	0	0	0	0	0	0	0	0
Dominant Count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
											
NET POTENTIAL BENEFIT (TARGET UNITS):											
Coho_salmon	0.0	5.86537644724425	17.076412774819516	26.677416165249088	29.185164416652206	34.31533689162184	36.81375171452922	38.263014155917105	39.30896240718387	39.93682644048208	39.93682644048208
InundHab_Current	0.0	1388.653137207031	1899.00112915039	2183.865409851072	2404.0944175720188	2439.76207065582	2550.3340806961032	2666.0504360198943	2856.7071094512908	2972.8794403076135	3143.503055572506
											
NET POTENTIAL BENEFIT (STANDARDIZED VALUES):											
Target Weights:											
InundHab_Current	1.0000										
Coho_salmon	1.0000										
Net Potential Benefit by Target:											
InundHab_Current	0.0000	0.7730	1.0570	1.2156	1.3382	1.3580	1.4196	1.4840	1.5901	1.6548	1.7498
Coho_salmon	0.0000	0.3916	1.1402	1.7813	1.9488	2.2913	2.4582	2.5549	2.6248	2.6667	2.6667
Weighted Net Gain Across Targets	0.0000	1.1646	2.1973	2.9969	3.2870	3.6494	3.8777	4.0389	4.2149	4.3215	4.4165
											
BARID	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	InSoln	Name	Cost	Region	BarrierType	Downstr BARID	PrimaryTG	DominantTG	Exclude_Reason	Coho_salmon	InundHab_Current	POINT_X	POINT_Y
78ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25002676	43.20255968
7958fs1	0	0	0	0	0	0	0	0	0	0	0	0	Sevenmile Creek	75000	Coquille	Upstream	29413fs1	0	0	Stream barrier other than culvert			-124.34938871	43.20398022
79ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24502065	43.20253684
8057fs1	0	0	0	0	0	0	0	0	0	0	0	0	Hamdock Creek	75000	Coquille	Upstream	23ts1	0	0				-124.33141659	43.12883955
80ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24308117	43.20253292
81ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24187444	43.20252816
82ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.23676344	43.19994613
83ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25325167	43.1954246
84ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.25311389	43.19531175
85ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.2525584	43.19540932
86ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24931188	43.19538192
87ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.2472138	43.19536622
88ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.24539813	43.19524822
89ts1	0	0	0	0	0	0	0	0	0	0	0	0	Winter Lake	0	Coquille	Tide gate		0	0	Replaced and restored. Winter Lake			-124.23949902	43.19531944
9040fs1	0	0	0	0	0	0	0	0	0	0	0	0	Gray Creek	75000	Coquille	Upstream	3703fs1	0	0				-124.15692787	43.11189678
90ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.23894276	43.19518728
91ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.23525591	43.19519443
92ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.23257976	43.1952881
93ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.23031792	43.19459351
94ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.22852065	43.19322503
95ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.22670092	43.19239806
96ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.22656273	43.19239192
97ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.22578858	43.19182651
98ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.22472305	43.19113748
99ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.2220298	43.18808191
9ts1	0	0	0	0	0	0	0	0	0	0	0	0		0	Coquille	Tide gate		0	0				-124.27498867	43.17404453
